client_id,date,month_year,sessions,impressions,clicks,ctr,position,avg_session_duration,bounce_rate,pages_per_session,conversions,conversion_rate,review_count,avg_rating,new_reviews
client_007,2025-10-26,Oct 2025,1038,19591,726,0.0371,14.1,124,0.5,2.9,72,0.069,28,4.5,5
client_007,2025-11-25,Nov 2025,1356,21984,949,0.0432,11.5,156,0.44,2.9,71,0.053,30,4.4,2
client_007,2025-12-25,Dec 2025,1224,25592,856,0.0334,11.6,142,0.48,2.5,77,0.063,30,4.9,2
client_007,2026-01-24,Jan 2026,1478,25281,1034,0.0409,9.8,116,0.41,3.3,75,0.051,33,4.5,7
client_007,2026-02-23,Feb 2026,1118,24313,782,0.0322,13.6,95,0.51,3.4,62,0.056,36,4.6,7
client_007,2026-03-25,Mar 2026,1318,25930,922,0.0356,16.6,175,0.42,3.0,81,0.062,37,4.8,5
client_008,2025-04-29,Apr 2025,652,9434,456,0.0483,13.5,112,0.39,3.5,38,0.06,18,4.8,4
client_008,2025-05-29,May 2025,590,9923,413,0.0416,16.1,178,0.47,4.1,46,0.078,22,4.7,6
client_008,2025-06-28,Jun 2025,490,7781,343,0.0441,14.3,156,0.52,2.7,36,0.074,25,4.6,3
client_008,2025-07-28,Jul 2025,581,8865,406,0.0458,16.3,122,0.36,4.2,27,0.047,22,4.6,5
client_008,2025-08-27,Aug 2025,547,8274,382,0.0462,9.1,140,0.55,3.4,21,0.039,25,4.3,7
client_008,2025-09-26,Sep 2025,552,8362,386,0.0462,10.2,148,0.43,2.8,41,0.075,26,4.5,4
client_008,2025-10-26,Oct 2025,523,9021,366,0.0406,13.0,96,0.43,3.5,34,0.066,31,4.3,6
client_008,2025-11-25,Nov 2025,423,7789,296,0.038,10.5,146,0.45,3.6,30,0.072,32,4.5,3
client_008,2025-12-25,Dec 2025,440,8228,308,0.0374,9.8,98,0.5,2.6,31,0.072,32,4.5,2
client_008,2026-01-24,Jan 2026,494,8540,345,0.0404,12.0,175,0.38,3.5,21,0.043,34,4.4,5
client_008,2026-02-23,Feb 2026,408,6823,285,0.0418,11.3,159,0.37,2.7,27,0.066,33,4.7,3
client_008,2026-03-25,Mar 2026,381,6544,266,0.0406,8.0,177,0.35,2.7,17,0.046,36,4.9,6
